productNo	availability	warehouse	price	priceSpec	priceSpecQuantityFrom	product	description	manufacturer	range	EAN	size	gender	notes_top	notes_middle	notes_base	colour_shade	priceMoc	category_root	category
178290	11	01111001	171.01			4711 4711 Original Eau de Cologne 50 ml (unisex)	Eau de Cologne	4711	4711 Original	4011700748969	50 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne			
39211	127	01111001	262.18	251.81	48	4711 4711 Original Eau de Cologne without Spray 200 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740062	200 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
39211	127	01111001	262.18	246.51	120	4711 4711 Original Eau de Cologne without Spray 200 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740062	200 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
44874	500	01111001	294.26	288.72	48	4711 4711 Original Eau de Cologne without Spray 300 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740055	300 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
44874	500	01111001	294.26	280.52	120	4711 4711 Original Eau de Cologne without Spray 300 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740055	300 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
167984	276	01111001	555.72	522.44	120	4711 4711 Original Eau de Cologne without Spray 800 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740031	800 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
167984	276	01111001	555.72	533.53	48	4711 4711 Original Eau de Cologne without Spray 800 ml (unisex)	Eau de Cologne without Spray	4711	4711 Original	4011700740031	800 ml	Unisex	Orange,Bergamot,Lemon	Lavender,Rosemary	Neroli,Petitgrain			Perfumes	Eau de Cologne without Spray			
159434	48	01111001	47.03	45.10	48	4711 4711 Original Refreshing Tissues 10 pcs	Wet wipes for immediate refreshment	4711	Refreshing Lemon	4011700740024	10 pcs							Cosmetics	Wet Wipes			
159432	6	01111001	73.32			4711 4711 Original Refreshing Tissues 20 pcs	Wet wipes for immediate refreshment	4711	Refreshing Lemon	4011700740000	20 pcs							Cosmetics	Wet Wipes			
177346	1	01111000	1377.49			4711 Acqua Colonia Amber Mandarin Eau De Parfum - unpacked 100 ml (unisex)	Eau De Parfum - unpacked	4711	Acqua Colonia Amber Mandarin	9999901773469	100 ml	Unisex	Green Mandarin,Orange,Pink Pepper	Black Cardamom,Iris,Osmanthus	Amber,balsamic notes,Patchouli,Musk			Perfumes	Eau De Parfum - unpacked			
163689	4	01111001	1477.11			4711 Acqua Colonia Amber Mandarin Eau De Parfum 100 ml (unisex)	Eau De Parfum	4711	Acqua Colonia Amber Mandarin	4011700760015	100 ml	Unisex	Green Mandarin,Orange,Pink Pepper	Black Cardamom,Iris,Osmanthus	Amber,balsamic notes,Patchouli,Musk			Perfumes	Eau De Parfum			
171618	26	01111001	252.05			4711 Acqua Colonia Fig & Vetiver Eau de Cologne 50 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Fig & Vetiver	4011700749485	50 ml	Unisex	green Fig Leaf	fig pulp	Vetiver			Perfumes	Eau de Cologne			
171575	19	01111001	341.78			4711 Acqua Colonia Freesia & Musk Eau de Cologne 100 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Freesia & Musk	4011700749195	100 ml	Unisex	sweet lemon,Lime,mandarin,Dragon Fruit	Toffee,Peach,Cedar,White Chocolate	Musky notes,Vanilla,Amber Accord,Dark woodsy notes			Perfumes	Eau de Cologne			
171620	84	01111001	246.02	236.13	48	4711 Acqua Colonia Freesia & Musk Eau de Cologne 50 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Freesia & Musk	4011700749188	50 ml	Unisex	sweet lemon,Lime,mandarin,Dragon Fruit	Toffee,Peach,Cedar,White Chocolate	Musky notes,Vanilla,Amber Accord,Dark woodsy notes			Perfumes	Eau de Cologne			
177368	10	01111000	222.63			4711 Acqua Colonia Intense Floral Fields of Ireland Eau de Cologne Intense - tester 170 ml (unisex)	Eau de Cologne Intense - tester	4711	Acqua Colonia Intense Floral Fields of Ireland	4011700750085	170 ml	Unisex	mandarin,Lemon,Osmanthus	Mimosa,Orange Blossom,Jasmine	Operanide,Sandalwood,Cedarwood			Perfumes	Eau de Cologne Intense - tester			
178253	9	01111001	393.88			4711 Acqua Colonia Intense Floral Fields of Ireland Eau de Cologne Intense 100 ml (unisex)	Eau de Cologne Intense	4711	Acqua Colonia Intense Floral Fields of Ireland	4011700750351	100 ml	Unisex	mandarin,Lemon,Osmanthus	Mimosa,Orange Blossom,Jasmine	Operanide,Sandalwood,Cedarwood			Perfumes	Eau de Cologne Intense			
177375	2	01111000	187.17			4711 Acqua Colonia Intense Refreshing Lagoons of Laos Eau de Cologne - tester 100 ml (woman)	Eau de Cologne - tester	4711	Acqua Colonia Intense Refreshing Lagoons of Laos	4011700750405	100 ml	Female	Grapefruit,Cucumber,Green Apple	Violet Leaf,Lotus,Rose	Sandalwood,White Amber,Musk			Perfumes	Eau de Cologne - tester			
178286	19	01111000	135.31			4711 Acqua Colonia Lime & Nutmeg Eau de Cologne - tester 100 ml (unisex)	Eau de Cologne - tester	4711	Acqua Colonia Lime & Nutmeg	4011700748754	100 ml	Unisex						Perfumes	Eau de Cologne - tester			
163691	13	01111001	311.63			4711 Acqua Colonia Lychee & White Mint Eau de Cologne 100 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Lychee & White Mint	4011700748693	100 ml	Unisex						Perfumes	Eau de Cologne			
102489	1	01111001	243.37			4711 Acqua Colonia Lychee & White Mint Eau de Cologne 50 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Lychee & White Mint	4011700747733	50 ml	Unisex						Perfumes	Eau de Cologne			
158177	19	01111001	222.15			4711 Acqua Colonia Peony & Sandalwood Eau de Cologne 50 ml (unisex)	Eau de Cologne	4711	Acqua Colonia Peony & Sandalwood	4011700748358	50 ml	Unisex						Perfumes	Eau de Cologne			
178247	15	01111001	298.12			4711 Acqua Colonia White Peach & Coriander Eau de Cologne 100 ml (unisex)	Eau de Cologne	4711	Acqua Colonia White Peach & Coriander	4011700748716	100 ml	Unisex						Perfumes	Eau de Cologne			
